OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edited_date
1,13,113,13113,Fayette,Fayette County,106567,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,127543,199.28599548,FAYETTE,{B96961B9-1DB2-426E-BFC0-2A88A6CA6BBA},1970/01/01 00:00:00+00
2,13,045,13045,Carroll,Carroll County,110527,N,N,N,Partial,Y,N,N,Three Rivers,322447,503.82400513,CARROLL,{5532C9D1-CCD2-47AA-88AF-31DBF9427A15},2015/10/14 17:19:39+00
3,13,247,13247,Rockdale,Rockdale County,85215,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,84525.703125,132.07099915,ROCKDALE,{79F18E75-8DE3-4EE6-B3A9-8F59836264A2},1970/01/01 00:00:00+00
4,13,067,13067,Cobb,Cobb County,688078,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,220455,344.45999146,COBB,{40855083-7688-4E25-9F07-890CE1428B58},1970/01/01 00:00:00+00
5,13,117,13117,Forsyth,Forsyth County,175511,N,N,Y,Y,Y,Y,Y,Georgia Mountains,158154,247.11599731,FORSYTH,{E7F22045-9D94-4AA2-8010-6C8DE9D721DA},1970/01/01 00:00:00+00
6,13,063,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.1015625,144.30299377,CLAYTON,{EB5E6DE9-F87E-4C88-8BDF-139F5162E7D5},1970/01/01 00:00:00+00
7,13,151,13151,Henry,Henry County,203922,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,208948,326.48098755,HENRY,{58521118-67EF-47D6-A8C6-4E2BC8B06C3C},1970/01/01 00:00:00+00
8,13,085,13085,Dawson,Dawson County,22330,N,N,N,Partial,Y,N,N,Georgia Mountains,137194,214.36500549,DAWSON,{847D3EE5-9D74-4DE5-9D1C-99FD25955B65},2015/10/14 17:33:09+00
9,13,015,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.06298828,BARTOW,{2BE15C46-EFC6-4D45-9020-3A32D51D627E},2015/10/14 17:31:49+00
10,13,171,13171,Lamar,Lamar County,18317,N,N,N,N,Y,N,N,Three Rivers,118910,185.79699707,LAMAR,{09A111E5-7469-4E1B-8EB3-5232C0C62337},1970/01/01 00:00:00+00
11,13,143,13143,Haralson,Haralson County,28780,N,N,N,N,Y,N,N,Northwest Georgia,181237,283.18301392,HARALSON,{83F10FA9-CEE9-4B21-87B7-6B682B453FE1},1970/01/01 00:00:00+00
12,13,199,13199,Meriwether,Meriwether County,21992,N,N,N,N,Y,N,N,Three Rivers,323414,505.33401489,MERIWETHER,{D104407C-03E4-4C3C-9F64-771DB2099071},1970/01/01 00:00:00+00
13,13,217,13217,Newton,Newton County,99958,N,N,N,Partial,Y,N,Y,Northeast Georgia,178654,279.14700317,NEWTON,{E281B6A2-FCAD-4D3E-997B-56FEE5C4B364},1970/01/01 00:00:00+00
14,13,135,13135,Gwinnett,Gwinnett County,805321,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,279481,436.68899536,GWINNETT,{0A870BA4-3FC9-43AB-AD26-91AD4AC8E5D6},1970/01/01 00:00:00+00
15,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.22900391,FULTON,{9FC63518-4DB8-4153-8483-71706ABE5C16},1970/01/01 00:00:00+00
16,13,227,13227,Pickens,Pickens County,29431,N,N,N,N,Y,N,N,Northwest Georgia,148909,232.66999817,PICKENS,{52D1050D-6483-4265-A5C9-0EC675880371},1970/01/01 00:00:00+00
17,13,139,13139,Hall,Hall County,179684,N,N,Y,N,N,N,N,Georgia Mountains,274700,429.21899414,HALL,{74B66795-606D-4DC9-B07F-42D3D846A182},2015/10/14 17:19:52+00
18,13,255,13255,Spalding,Spalding County,64073,N,N,N,Partial,Y,N,N,Three Rivers,127712,199.55099487,SPALDING,{0BF85E79-5A2A-4DE1-965F-DCC055F296B6},2015/10/14 17:19:58+00
19,13,097,13097,Douglas,Douglas County,132403,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,128641,201.00100708,DOUGLAS,{F8B61CE7-4AC8-4A3A-BFD1-C6224FA0589F},1970/01/01 00:00:00+00
20,13,077,13077,Coweta,Coweta County,127317,N,N,Y,Y,Y,Y,Y,Three Rivers,285287,445.76098633,COWETA,{41E9E99B-BB65-451F-8271-7C7C816710DC},1970/01/01 00:00:00+00
21,13,149,13149,Heard,Heard County,11834,N,N,N,N,Y,N,N,Three Rivers,192700,301.09298706,HEARD,{CDC93300-7795-44E8-9806-0CC146DB9980},1970/01/01 00:00:00+00
22,13,035,13035,Butts,Butts County,23655,N,N,N,N,Y,N,N,Three Rivers,120323,188.00500488,BUTTS,{362E7DAC-382E-4F3D-B822-FD905F9757A6},1970/01/01 00:00:00+00
23,13,159,13159,Jasper,Jasper County,13900,N,N,N,N,Y,N,N,Northeast Georgia,238981,373.40701294,JASPER,{3B435CA7-1AD2-40F9-912B-DFAF871EDE82},1970/01/01 00:00:00+00
24,13,089,13089,DeKalb,DeKalb County,691893,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,173496,271.08700562,DEKALB,{65577E5B-9F80-4B09-88FB-82196805CEBE},1970/01/01 00:00:00+00
25,13,057,13057,Cherokee,Cherokee County,214346,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,277969,434.32598877,CHEROKEE,{0530F4A5-2181-4405-9DF0-AEA686E75C85},1970/01/01 00:00:00+00
26,13,297,13297,Walton,Walton County,83768,N,N,N,Partial,Y,N,N,Northeast Georgia,211166,329.9460144,WALTON,{FE367D4F-DEF1-41DB-98E2-2A6104F5F900},2015/10/14 17:20:00+00
27,13,231,13231,Pike,Pike County,17869,N,N,N,Partial,Y,N,N,Three Rivers,140392,219.36300659,PIKE,{38375F84-CD9A-40E1-8A82-983E62BB5BAE},2015/10/14 17:33:09+00
28,13,013,13013,Barrow,Barrow County,69367,N,N,N,Partial,Y,N,N,Northeast Georgia,104266,162.91499329,BARROW,{36E2EA48-1481-44D7-91C9-7C51AC8AB9E9},2015/10/14 17:19:34+00
29,13,223,13223,Paulding,Paulding County,142324,N,N,Y,Y,Y,Y,Y,Northwest Georgia,201159,314.31100464,PAULDING,{F12A8D9F-5688-4C5D-9632-79C82A4F8D56},1970/01/01 00:00:00+00
